time,momentary,short_term
0.0998125,-120.0,-120.7
0.199813,-120.0,-120.7
0.299812,-120.0,-120.7
0.399812,-117.1,-120.7
0.499812,-116.8,-120.7
0.599812,-116.8,-120.7
0.699812,-116.8,-120.7
0.799812,-116.8,-120.7
0.899813,-116.8,-120.7
0.999812,-82.1,-120.7
1.09981,-66.8,-120.7
1.19981,-59.5,-120.7
1.29981,-52.8,-120.7
1.39981,-47.4,-120.7
1.49981,-39.4,-120.7
1.59981,-30.7,-120.7
1.69981,-19.7,-120.7
1.79981,-18.9,-120.7
1.89981,-18.5,-120.7
1.99981,-18.6,-120.7
2.09981,-23.6,-120.7
2.19981,-26.4,-120.7
2.29981,-28.4,-120.7
2.39981,-28.7,-120.7
2.49981,-29.0,-120.7
2.59981,-28.8,-120.7
2.69981,-29.3,-120.7
2.79981,-30.4,-120.7
2.89981,-30.2,-120.7
2.99981,-31.0,-26.4
3.09981,-31.7,-26.3
3.19981,-32.2,-26.3
3.29981,-34.6,-26.3
3.39981,-35.7,-26.3
3.49981,-37.1,-26.3
3.59981,-38.6,-26.3
3.69981,-38.4,-26.3
3.79981,-38.6,-26.3
3.89981,-39.1,-26.3
3.99981,-39.6,-26.2
4.09981,-40.2,-26.2
4.19981,-41.4,-26.2
4.29981,-41.8,-26.2
4.39981,-42.2,-26.2
4.49981,-42.4,-26.3
4.59981,-42.4,-26.4
4.69981,-42.1,-30.1
4.79981,-41.6,-31.8
4.89981,-41.2,-33.0
4.99981,-40.3,-33.6
5.09981,-39.8,-34.0
5.19981,-39.0,-34.2
5.29981,-38.4,-34.8
5.39981,-37.7,-35.5
5.49981,-36.6,-35.8
5.59981,-35.8,-36.3
5.69981,-34.1,-36.5
5.79981,-32.1,-36.2
5.89981,-30.2,-35.8
5.99981,-27.9,-34.6
6.09981,-25.5,-32.9
6.19981,-23.4,-31.1
6.29981,-21.6,-29.4
6.39981,-20.0,-27.8
6.49981,-18.0,-25.9
6.59981,-16.2,-24.0
6.69981,-15.8,-23.4
6.79981,-16.5,-23.3
6.89981,-18.1,-23.3
6.99981,-22.9,-23.3
7.09981,-34.5,-23.3
7.19981,-37.5,-23.3
7.29981,-41.1,-23.3
7.39981,-44.7,-23.3
7.49981,-48.3,-23.3
7.59981,-51.2,-23.3
7.69981,-54.7,-23.3
7.79981,-56.3,-23.3
7.89981,-58.3,-23.3
7.99981,-59.8,-23.3
8.09981,-61.0,-23.4
8.19981,-62.5,-23.4
8.29981,-63.7,-23.4
8.39981,-65.4,-23.4
8.49981,-66.8,-23.4
8.59981,-68.3,-23.4
8.69981,-70.0,-23.4
8.79981,-71.3,-23.4
8.89981,-72.6,-23.5
8.99981,-74.3,-23.6
9.09981,-76.0,-23.8
9.19981,-77.6,-24.1
9.29981,-79.1,-24.5
9.39981,-80.8,-25.2
9.49981,-82.8,-26.8
9.59981,-84.4,-31.6
9.69981,-86.1,-43.1
9.79981,-88.3,-46.0
9.89981,-91.1,-49.6
9.99981,-93.8,-53.1
10.0998,-97.6,-56.5
10.1998,-101.5,-59.2
10.2998,-104.5,-62.3
10.3998,-110.0,-63.8
10.4998,-115.1,-65.7
10.5998,-116.9,-67.2
10.6998,-116.9,-68.4
10.7998,-116.8,-70.0
10.8998,-116.8,-71.3
10.9998,-116.8,-72.9
11.0998,-116.8,-74.3
11.1998,-116.8,-75.8
11.2998,-77.7,-77.0
11.3998,-65.5,-73.0
11.4998,-62.2,-70.5
11.5998,-60.0,-68.5
11.6998,-58.4,-67.0
11.7998,-57.8,-65.8
11.8998,-57.1,-64.6
11.9998,-56.1,-63.4
12.0998,-54.8,-62.0
12.1998,-53.9,-60.9
12.2998,-53.1,-60.0
12.3998,-52.4,-59.1
12.4998,-52.0,-58.3
12.5998,-51.0,-57.3
12.6998,-50.6,-56.7
12.7998,-50.4,-56.1
12.8998,-50.5,-55.7
12.9998,-51.2,-55.4
13.0998,-51.8,-55.2
13.1998,-52.0,-54.8
13.2998,-51.7,-54.5
13.3998,-51.2,-54.1
13.4998,-50.4,-53.7
13.5998,-49.6,-53.2
13.6998,-48.8,-52.7
13.7998,-48.3,-52.3
13.8998,-47.9,-51.9
13.9998,-47.7,-51.5
14.0998,-47.5,-51.1
14.1998,-47.3,-50.8
14.2998,-47.1,-50.4
14.3998,-46.9,-50.1
14.4998,-46.7,-49.8
14.5998,-46.6,-49.5
14.6998,-46.5,-49.3
14.7998,-46.4,-49.0
14.8998,-46.4,-48.8
14.9998,-46.5,-48.6
15.0998,-46.6,-48.5
15.1998,-46.5,-48.2
15.2998,-46.3,-48.0
15.3998,-46.0,-47.9
15.4998,-45.6,-47.7
15.5998,-45.4,-47.5
15.6998,-45.3,-47.3
15.7998,-44.9,-47.1
15.8998,-44.9,-46.9
15.9998,-44.8,-46.7
16.0998,-44.9,-46.6
16.1998,-45.1,-46.4
16.2998,-45.0,-46.3
16.3998,-45.3,-46.2
16.4998,-45.4,-46.1
16.5998,-45.6,-46.0
16.6998,-45.8,-46.0
16.7998,-45.7,-45.9
16.8998,-45.5,-45.8
16.9998,-45.0,-45.7
17.0998,-44.3,-45.6
17.1998,-43.9,-45.4
17.2998,-43.8,-45.3
17.3998,-43.6,-45.2
17.4998,-43.5,-45.1
17.5998,-43.2,-44.9
17.6998,-42.8,-44.8
17.7998,-42.6,-44.6
17.8998,-42.5,-44.5
17.9998,-42.3,-44.3
18.0998,-42.2,-44.2
18.1998,-42.0,-44.0
18.2998,-41.9,-43.9
18.3998,-41.7,-43.7
18.4998,-41.4,-43.5
18.5998,-41.2,-43.4
18.6998,-41.2,-43.3
18.7998,-41.4,-43.2
18.8998,-41.7,-43.1
18.9998,-41.9,-43.0
19.0998,-41.9,-42.9
19.1998,-41.9,-42.8
19.2998,-42.0,-42.7
19.3998,-42.1,-42.6
19.4998,-42.4,-42.6
19.5998,-42.3,-42.5
19.6998,-42.4,-42.4
19.7998,-42.6,-42.4
19.8998,-43.0,-42.3
19.9998,-43.4,-42.3
20.0998,-43.7,-42.3
20.1998,-44.0,-42.4
20.2998,-44.1,-42.4
20.3998,-44.7,-42.4
20.4998,-45.3,-42.5
20.5998,-45.6,-42.6
20.6998,-45.8,-42.6
20.7998,-45.5,-42.7
20.8998,-45.1,-42.8
20.9998,-45.0,-42.9
21.0998,-44.7,-42.9
21.1998,-44.7,-43.0
21.2998,-44.8,-43.1
21.3998,-44.5,-43.3
21.4998,-44.5,-43.4
21.5998,-44.6,-43.5
21.6998,-44.5,-43.6
21.7998,-44.4,-43.7
21.8998,-44.0,-43.7
21.9998,-43.7,-43.8
22.0998,-43.4,-43.9
22.1998,-43.1,-43.9
22.2998,-42.9,-43.9
22.3998,-43.1,-44.0
22.4998,-43.1,-44.0
22.5998,-43.2,-44.1
22.6998,-43.8,-44.2
22.7998,-43.9,-44.2
22.8998,-44.1,-44.2
22.9998,-44.7,-44.3
23.0998,-44.6,-44.3
23.1998,-44.5,-44.3
23.2998,-39.3,-43.2
23.3998,-26.5,-34.8
