type,start_seconds,end_seconds,start,end,duration,score,loudness_db,low_db,center_advantage_db
HARSH,0.896,0.896,00:00:00.90,00:00:00.90,0.0,65.8393427133315,-100.0,-100.0,0.0
IMPACT,0.896,0.896,00:00:00.90,00:00:00.90,0.0,20.425344439675303,-100.0,-100.0,0.0
SWELL,4.0,4.0,00:00:04.00,00:00:04.00,0.0,0.0,-49.45317077636719,-50.39112854003906,-47.54168701171875
HARSH,6.496,6.496,00:00:06.50,00:00:06.50,0.0,14.270040075451623,-33.60268020629883,-49.19001770019531,-63.53386688232422
RECOVERY,7.264,35.68,00:00:07.26,00:00:35.68,28.416,-0.17778167470727219,-53.70359066554478,-57.6236411675023,0.09338337283568925
SWELL,9.024,9.024,00:00:09.02,00:00:09.02,0.0,0.0,-91.99840545654297,-100.0,-5.181083679199219
IMPACT,9.696,9.696,00:00:09.70,00:00:09.70,0.0,13.65571727530181,-100.0,-100.0,0.0
HARSH,10.496,10.496,00:00:10.50,00:00:10.50,0.0,64.86488640220531,-100.0,-100.0,0.0
IMPACT,10.496,10.496,00:00:10.50,00:00:10.50,0.0,19.937410300277094,-100.0,-100.0,0.0
SWELL,14.624,14.624,00:00:14.62,00:00:14.62,0.0,0.0,-56.180450439453125,-62.33454895019531,-0.6689453125
SWELL,19.776,19.776,00:00:19.78,00:00:19.78,0.0,0.0,-53.18164825439453,-58.24427795410156,-0.49001312255859375
SWELL,24.768,24.768,00:00:24.77,00:00:24.77,0.0,0.0,-35.325965881347656,-35.34357833862305,-5.0012359619140625
SWELL,29.952,29.952,00:00:29.95,00:00:29.95,0.0,0.0,-39.25035858154297,-39.64689254760742,3.225322723388672
SWELL,35.104,35.104,00:00:35.10,00:00:35.10,0.0,0.0,-53.0081901550293,-59.73335647583008,0.5551910400390625
IMPACT,37.408,37.408,00:00:37.41,00:00:37.41,0.0,8.53983162351845,-38.492774963378906,-49.19218063354492,22.986921310424805
IMPACT,38.592,38.592,00:00:38.59,00:00:38.59,0.0,11.335714167832613,-42.036033630371094,-47.155517578125,19.40772819519043
HARSH,38.784,38.784,00:00:38.78,00:00:38.78,0.0,20.27519870067539,-44.59951400756836,-51.056983947753906,18.631061553955078
SWELL,40.256,40.256,00:00:40.26,00:00:40.26,0.0,0.0,-49.57301712036133,-49.8635139465332,-11.32049560546875
RECOVERY,44.64,52.288,00:00:44.64,00:00:52.29,7.647999999999996,-0.19265607649438382,-45.51626383463542,-47.08934458096822,-3.64192419052124
SWELL,45.344,45.344,00:00:45.34,00:00:45.34,0.0,0.0,-40.6407356262207,-41.746681213378906,-7.438755035400391
SWELL,50.368,50.368,00:00:50.37,00:00:50.37,0.0,0.0,-48.19728469848633,-49.6405029296875,-3.3668594360351562
SWELL,55.488,55.488,00:00:55.49,00:00:55.49,0.0,0.0,-29.25020408630371,-31.816059112548828,-3.1434326171875
HARSH,58.016,58.016,00:00:58.02,00:00:58.02,0.0,27.200219901909097,-51.2834358215332,-62.49707794189453,23.339698791503906
IMPACT,58.016,58.016,00:00:58.02,00:00:58.02,0.0,14.263339890476809,-51.2834358215332,-62.49707794189453,23.339698791503906
IMPACT,58.816,58.816,00:00:58.82,00:00:58.82,0.0,12.13386655177538,-52.598724365234375,-60.42645263671875,17.30986785888672
SWELL,60.64,60.64,00:01:00.64,00:01:00.64,0.0,0.0,-53.584903717041016,-54.31212615966797,-2.2744827270507812
HARSH,62.592,62.592,00:01:02.59,00:01:02.59,0.0,28.71422585142942,-49.72795867919922,-60.69354248046875,21.171810150146484
IMPACT,62.592,62.592,00:01:02.59,00:01:02.59,0.0,16.00593338382889,-49.72795867919922,-60.69354248046875,21.171810150146484
IMPACT,64.384,64.384,00:01:04.38,00:01:04.38,0.0,13.566245465916035,-52.12875747680664,-59.48673629760742,16.80290985107422
SWELL,65.76,65.76,00:01:05.76,00:01:05.76,0.0,0.0,-58.490135192871094,-59.366031646728516,-0.34820556640625
IMPACT,65.888,65.888,00:01:05.89,00:01:05.89,0.0,11.681412721659632,-54.76847839355469,-58.243186950683594,14.413894653320312
HARSH,65.984,65.984,00:01:05.98,00:01:05.98,0.0,21.767089601500146,-55.08100891113281,-60.984474182128906,14.409217834472656
IMPACT,66.816,66.816,00:01:06.82,00:01:06.82,0.0,17.382388505292575,-42.79161834716797,-56.1174430847168,26.82238006591797
IMPACT,70.016,70.016,00:01:10.02,00:01:10.02,0.0,10.140399486060467,-52.869171142578125,-57.91167449951172,18.549091339111328
HARSH,70.144,70.144,00:01:10.14,00:01:10.14,0.0,13.867372661035574,-50.97631072998047,-58.03789520263672,18.728443145751953
SWELL,71.136,71.136,00:01:11.14,00:01:11.14,0.0,0.0,-60.00004577636719,-61.153076171875,0.5239028930664062
IMPACT,71.52,71.52,00:01:11.52,00:01:11.52,0.0,10.640138638664368,-54.61506271362305,-57.45794677734375,11.352092742919922
IMPACT,73.984,73.984,00:01:13.98,00:01:13.98,0.0,15.502314281967886,-43.12910079956055,-49.133689880371094,26.307518005371094
IMPACT,74.816,74.816,00:01:14.82,00:01:14.82,0.0,17.803833617193458,-44.41448974609375,-56.461463928222656,22.89051055908203
HARSH,75.55199999999999,75.55199999999999,00:01:15.55,00:01:15.55,0.0,30.043595338189323,-50.91699981689453,-58.316707611083984,16.83505630493164
IMPACT,75.584,75.584,00:01:15.58,00:01:15.58,0.0,15.41150982615083,-50.60977554321289,-57.06239318847656,15.4632568359375
SWELL,76.128,76.128,00:01:16.13,00:01:16.13,0.0,0.0,-55.16033172607422,-56.016937255859375,2.2315406799316406
IMPACT,76.352,76.352,00:01:16.35,00:01:16.35,0.0,10.549190272963186,-55.33013153076172,-58.51528549194336,10.094928741455078
IMPACT,78.144,78.144,00:01:18.14,00:01:18.14,0.0,8.510096405556846,-56.30595397949219,-57.84667205810547,8.802566528320312
HARSH,80.864,80.864,00:01:20.86,00:01:20.86,0.0,15.226846899401478,-55.35859680175781,-58.59176254272461,8.952987670898438
SWELL,81.21600000000001,81.21600000000001,00:01:21.22,00:01:21.22,0.0,0.0,-53.75934982299805,-54.986000061035156,0.24742889404296875
IMPACT,83.264,83.264,00:01:23.26,00:01:23.26,0.0,12.846861081513834,-45.549461364746094,-48.661964416503906,9.922721862792969
HARSH,84.64,84.64,00:01:24.64,00:01:24.64,0.0,17.149280850473684,-50.664642333984375,-53.13195037841797,8.443416595458984
IMPACT,84.672,84.672,00:01:24.67,00:01:24.67,0.0,11.981968735243171,-51.04692459106445,-53.924922943115234,9.452880859375
IMPACT,85.696,85.696,00:01:25.70,00:01:25.70,0.0,9.84479918184605,-48.09550476074219,-52.5739860534668,15.219551086425781
SWELL,86.304,86.304,00:01:26.30,00:01:26.30,0.0,0.0,-56.879417419433594,-58.70895767211914,-0.04343414306640625
IMPACT,89.024,89.024,00:01:29.02,00:01:29.02,0.0,13.213368651149493,-37.70322799682617,-47.203887939453125,30.576711654663086
HARSH,89.088,89.088,00:01:29.09,00:01:29.09,0.0,22.511486336353414,-39.22380065917969,-48.13652038574219,28.471935272216797
IMPACT,90.368,90.368,00:01:30.37,00:01:30.37,0.0,13.614877169598943,-36.444129943847656,-39.873294830322266,26.318721771240234
SWELL,91.36,91.36,00:01:31.36,00:01:31.36,0.0,0.0,-45.187469482421875,-54.109134674072266,4.0053253173828125
HIGH_LOAD,95.68,114.78399999999999,00:01:35.68,00:01:54.78,19.103999999999985,0.60917537352215,-49.32813688105963,-61.70164700256144,20.096409813616187
SWELL,96.576,96.576,00:01:36.58,00:01:36.58,0.0,0.0,-34.47987365722656,-47.71746826171875,3.2857437133789062
IMPACT,101.12,101.12,00:01:41.12,00:01:41.12,0.0,12.76370945374128,-49.673583984375,-59.21737289428711,31.625465393066406
SWELL,101.75999999999999,101.75999999999999,00:01:41.76,00:01:41.76,0.0,0.0,-66.6785659790039,-68.60222625732422,14.768863677978516
IMPACT,102.72,102.72,00:01:42.72,00:01:42.72,0.0,13.866093156769768,-43.077064514160156,-52.85488510131836,44.266109466552734
BARRAGE,103.136,111.80799999999999,00:01:43.14,00:01:51.81,8.671999999999997,1.4251447247672724,-56.50741781907923,-70.57728303180022,30.611650845583746
HARSH,103.488,103.488,00:01:43.49,00:01:43.49,0.0,35.448930309141005,-55.108795166015625,-71.24777221679688,32.85747528076172
IMPACT,103.488,103.488,00:01:43.49,00:01:43.49,0.0,19.2665784259375,-55.108795166015625,-71.24777221679688,32.85747528076172
IMPACT,104.672,104.672,00:01:44.67,00:01:44.67,0.0,14.199935112395547,-47.067317962646484,-63.89519500732422,40.52130889892578
DRUM_RUN,104.70400000000001,104.70400000000001,00:01:44.70,00:01:44.70,0.0,2.1002379583243265,-43.734432220458984,-58.06946563720703,44.030128479003906
IMPACT,105.952,105.952,00:01:45.95,00:01:45.95,0.0,20.158598069852687,-44.84577178955078,-58.475093841552734,41.582496643066406
HARSH,106.52799999999999,106.52799999999999,00:01:46.53,00:01:46.53,0.0,38.484324509815416,-61.7228889465332,-76.4695816040039,26.584903717041016
SWELL,106.816,106.816,00:01:46.82,00:01:46.82,0.0,0.0,-70.12986755371094,-78.09832000732422,17.41274642944336
IMPACT,107.00800000000001,107.00800000000001,00:01:47.01,00:01:47.01,0.0,14.194375100940224,-63.85382843017578,-76.63401794433594,23.243148803710938
IMPACT,107.84,107.84,00:01:47.84,00:01:47.84,0.0,15.772193143012116,-47.147743225097656,-63.05488967895508,40.39000701904297
IMPACT,109.088,109.088,00:01:49.09,00:01:49.09,0.0,27.188390631826383,-46.03907775878906,-73.66036224365234,40.98774719238281
IMPACT,110.27199999999999,110.27199999999999,00:01:50.27,00:01:50.27,0.0,10.499779757186603,-52.25752258300781,-71.558837890625,35.54691696166992
