time_seconds,timestamp,candidate,score,rms_db,onset_strength,spectral_centroid_hz,bandwidth_hz,zcr
1.1377777777777778,00:00:01.14,SWELL,12.097221374511719,-46.34652328491211,0.29512253403663635,436.2368641956858,1083.887916873952,0.0146484375
6.757006802721088,00:00:06.76,HARSH,3.8306763220293214,-32.606868743896484,0.01553809642791748,4445.703070907019,2659.3186012175233,0.455078125
11.354557823129252,00:00:11.35,SWELL,5.838644027709961,-52.947593688964844,1.0381666421890259,1302.7661135810893,1279.762641630652,0.0693359375
23.219954648526077,00:00:23.22,SWELL,5.068630218505859,-37.117897033691406,0.7049921751022339,867.3207108654119,1093.0463122022286,0.03955078125
37.10548752834467,00:00:37.11,IMPACT,8.572122674386783,-28.469432830810547,7.244069576263428,2615.6676014149334,2390.300366744753,0.15283203125
41.84235827664399,00:00:41.84,IMPACT,5.519384025287495,-30.888526916503906,4.826603412628174,2577.2995695964687,2585.528263302781,0.16162109375
57.72480725623583,00:00:57.72,HARSH,2.8195292734189294,-21.152790069580078,0.40325993299484253,4158.048179425348,3198.6112298710573,0.23486328125
58.026666666666664,00:00:58.03,IMPACT,4.792596797318192,-35.39417266845703,3.951427459716797,4838.808811068388,2521.1964992155927,0.3974609375
62.09015873015873,00:01:02.09,HARSH,2.960559937524411,-37.76847457885742,2.3022215366363525,4648.4836150789815,3011.655347051043,0.3134765625
62.577777777777776,00:01:02.58,IMPACT,5.725326316402078,-34.71265411376953,4.577396392822266,5280.985931287869,2853.5227894010673,0.40380859375
65.99111111111111,00:01:05.99,HARSH,2.967134284182317,-39.77983856201172,1.875340461730957,4439.8019277219955,2821.158193463343,0.34326171875
66.80380952380952,00:01:06.80,IMPACT,9.317721454100353,-27.833580017089844,7.682134628295898,3338.191525996633,2654.5780403274657,0.2509765625
74.7914739229025,00:01:14.79,IMPACT,11.907477985944576,-28.399642944335938,9.811469078063965,3042.5592626380912,2656.2640808885762,0.25390625
76.39365079365079,00:01:16.39,IMPACT,7.314735883036493,-38.90284729003906,6.2205891609191895,3136.2772223863753,3319.090885356207,0.169921875
76.39365079365079,00:01:16.39,HIGH_LOAD,5.006650044291621,-38.90284729003906,6.2205891609191895,3136.2772223863753,3319.090885356207,0.169921875
83.24353741496599,00:01:23.24,IMPACT,11.518449613527734,-29.66668701171875,9.770627975463867,1913.7835604046802,2072.0459150480156,0.06640625
84.6831746031746,00:01:24.68,IMPACT,9.052210850803183,-35.27117919921875,7.582037925720215,3257.419698238402,2852.909029156036,0.19775390625
85.70485260770975,00:01:25.70,IMPACT,6.211562200682317,-32.334232330322266,5.124642848968506,4131.856576575222,2789.7004743983994,0.24072265625
90.27918367346939,00:01:30.28,HARSH,3.022884075576625,-33.429866790771484,1.0666024684906006,4276.390991841351,3215.675320025793,0.3154296875
101.12290249433107,00:01:41.12,IMPACT,6.397681615631448,-36.846229553222656,5.42017936706543,3569.1842190898124,2968.5801013629007,0.2568359375
