second,rms_db,onset,impact,harsh,swell,load,timestamp
0,-78.97429,0.0,-0.9282627810102541,0.058717449008139404,4.6963277,-0.7813466349908573,00:00:00.00
1,-27.088238,0.95368975,0.47992070890892535,0.7514985228963211,8.090104,0.6258509231939665,00:00:01.00
2,-23.498251,0.6682812,0.26917732600938443,0.7835953586143236,-1.1219109,0.4903110787178075,00:00:02.00
3,-31.167006,0.50615233,-0.12135501092231019,0.3551258933684194,-1.9418285,0.07133917625961574,00:00:03.00
4,-36.28413,0.527652,-0.17052083397933085,0.27760532230951734,-0.58080155,0.002646474592526344,00:00:04.00
5,-31.327217,1.035094,0.6574363941385963,0.9279157941086611,2.1273637,0.7637694543260479,00:00:05.00
6,-24.649506,1.0179272,1.182172589411223,3.0850903394762264,-3.3943741,1.9802527100021166,00:00:06.00
7,-54.20939,0.14810915,-0.5196846319655873,2.575590091988018,-7.0696197,0.7647809929123923,00:00:07.00
8,-70.475044,0.014094287,-1.0680227780020308,1.4943982192482714,-4.8161716,-0.045207220201038664,00:00:08.00
9,-79.823296,0.0,-1.0972103159781748,1.8486602715489104,-2.5569234,0.07228086405109317,00:00:09.00
10,-80.0,0.0,-0.8893663488732695,0.5140596637125029,0.5430892,-0.5524568014039262,00:00:10.00
11,-58.753986,0.3584791,-0.8325523206808032,-0.46679569788832337,4.77851,-0.7612825712182066,00:00:11.00
12,-45.732384,0.5312197,-0.6450281419971436,-0.5861132873662873,0.70689416,-0.63150144856081,00:00:12.00
13,-43.22841,0.5804698,-0.5424058160301556,-0.5801031247008409,0.29002714,-0.5685120912573741,00:00:13.00
14,-41.27725,0.5788268,-0.5124646449677462,-0.516822431321109,-0.23011427,-0.5207962601470296,00:00:14.00
15,-40.090782,0.58023095,-0.4795807764020923,-0.45045725811789766,-0.20150758,-0.4730183299205837,00:00:15.00
16,-39.7833,0.61157566,-0.4307849921377537,-0.43260675403433857,-0.04918429,-0.43689882312403955,00:00:16.00
17,-37.263603,0.61034006,-0.39834990662882164,-0.41395081080883833,0.115462326,-0.4068970480875234,00:00:17.00
