second,time,loudness_db,onset,centroid_hz,flatness,zcr,low_db,low_onset,center_db,noncenter_db,audibility,impact_score,drum_score,swell_rise_db,harsh_score,barrage_score,burden,center_advantage_db,timestamp
0,0.496,-98.26851749420166,0.0,201.86764404264872,0.9097642981942045,0.001312255859375,-98.3109712600708,0.0,-100.0,-98.52797746658325,0.0,0.0,-0.1715603130769301,0.0,0.0,-0.4071577775823411,0.07397445214558614,,00:00:00.00
1,1.504,-42.06669825892295,1.3990085985391372,782.872953562578,0.0010568284060061214,0.06645350302419355,-42.54410669880529,0.6251272182430951,-100.0,-45.08581813689201,0.8045564159270255,0.6597126762838371,-0.11689050184948523,0.0,-0.02467568713107233,-0.41421706849984086,0.22572684208743546,-57.36272185189383,00:00:01.00
2,2.496,-38.22607028099798,0.7377567723874123,1083.3503169998187,0.0005389178963189805,0.107421875,-38.62684102212229,0.12806326222996553,-100.0,-41.238035386608495,1.0,-0.06737593842810789,-0.06657896893618291,0.0,0.16135564533210467,-0.36317980317717524,0.26393826888274674,-58.761964613391505,00:00:02.00
3,3.488,-45.776033832180886,0.6863800335314966,849.0584859753058,0.00037129304673134516,0.08311806955645161,-46.28121985158613,0.16056941641915226,-100.0,-48.789998208322835,0.9414982334260018,-0.34729876623662276,-0.5510054062355111,0.0,-0.22903185798197084,-0.4568800666326546,0.16739052215521866,-51.210001791677165,00:00:03.00
4,4.496,-51.138949513435364,0.7264093169942498,891.9523195260037,0.0008750603201405719,0.08135986328125,-54.8890585899353,0.2012347071431577,-100.0,-54.142799854278564,0.6930525243282318,-0.28351474095841106,-0.8263178182430132,0.0,-0.21207916531570464,-0.5802013365981431,0.11799606882870504,-45.857200145721436,00:00:04.00
5,5.504,-46.213163437381866,1.2631233065359053,1808.5186046550868,0.016460464099392,0.1641570060483871,-57.480311978247855,0.29613485836213627,-100.0,-49.214632834157634,0.8842578764884702,1.0415869652770875,-0.6566439595564451,0.0,1.9025476578949478,-0.35053820626440446,0.2777003195645267,-50.785367165842366,00:00:05.00
6,6.496,-39.49539129195675,1.052998049364936,3382.7116761765255,0.07621274272640863,0.4014616935483871,-55.860039618707475,0.4875986972643483,-100.0,-42.45724819552514,0.9256194883777249,3.30583150618691,-0.5397419501482211,0.0,8.833674761291197,0.166797476328535,0.3430025610692287,-57.54275180447486,00:00:06.00
7,7.4879999999999995,-68.86997616675592,0.28096249363114756,3646.7593200506585,0.009269796770005877,0.4922977570564516,-88.75550202400454,0.021084304778806587,-100.0,-71.86503231909967,0.07506451760568925,0.03878928333154972,-0.3252024755103979,0.0,0.27383531893363583,-0.3807440568805611,0.09917964223422843,-38.97373580932617,00:00:07.00
8,8.496,-85.14227223396301,0.0799280563369393,3420.0869903511393,0.0631155319861136,0.3558197021484375,-99.17443513870239,0.0039191106334328495,-100.0,-88.03111457824707,0.0,0.0,-0.5275296600245865,0.0,0.0,-0.5446537172199443,0.016348347141987237,,00:00:08.00
9,9.504,-98.32847422938192,0.0034474768946247706,2945.2165283750232,0.5381353449436926,0.0779202368951613,-100.0,0.0,-100.0,-99.40882947368007,0.0,0.0,-0.6935149827485134,0.0,0.0,-0.6910350944233803,0.0011588560082822525,,00:00:09.00
10,10.496,-100.0,0.0,0.0,1.0000007152557373,0.0,-100.0,0.0,-100.0,-100.0,0.0,0.0,-0.6935149827485134,0.0,0.0,-0.6938516108046145,7.982609334594435e-05,,00:00:10.00
11,11.488,-74.4555798192178,0.6561824448647038,962.1256154875426,0.2359481980994103,0.06067288306451613,-79.05587350168535,0.18477866197786022,-75.2529530679026,-76.07931690831339,0.013082005900721396,-0.008345492112070507,-0.7206253452222761,10.695238258283057,-0.001600070057511378,-0.6990959954252708,0.002767956458084439,1.0583623250325498,00:00:11.00
12,12.496,-60.668145418167114,0.6997649688273668,1098.7979982768509,0.004301254077290606,0.0783538818359375,-64.70447432994843,0.1710745971649885,-62.43804454803467,-62.78213608264923,0.21659272909164431,-0.10647321375629303,-0.9031167409569427,9.62477905407767,-0.02534289223700107,-0.8002852148192307,0.01204357728262083,0.3440915346145632,00:00:12.00
13,13.504,-58.03129159250567,0.6984533830996482,1055.8416170155378,0.003768041913938316,0.0679655997983871,-62.32504370904738,0.19468473811303413,-59.53318060598066,-60.15814479704826,0.3484354203747165,-0.16239100273411394,-0.9608658581977555,0.0,-0.07544795290247,-0.8449416985439252,0.021360787506528662,0.6249641910676024,00:00:13.00
14,14.496,-56.14315734371062,0.6932211027991387,1038.3668827114743,0.0030276002625243322,0.07165133568548387,-61.621805744786414,0.17630795461516224,-58.43300025693832,-58.270660646500126,0.4428421328144688,-0.20477993353124027,-0.9836202136683692,0.0,-0.08510914632339149,-0.8707298697282002,0.02861165018500201,-0.1623396104381926,00:00:14.00
15,15.488,-54.97395177041331,0.667704273616114,1059.8363169456811,0.0030827621493728355,0.07716418850806452,-61.043749655446696,0.18187287642109776,-57.48850139494865,-57.097393158943426,0.5013024114793346,-0.22770256888283708,-0.9943974851996361,0.0,-0.0631296462121101,-0.8768829256907196,0.033570979697953564,-0.3911082360052293,00:00:15.00
16,16.496000000000002,-54.65684962272644,0.7000456070527434,1075.6509853704931,0.0036247966054360845,0.0768585205078125,-60.880419969558716,0.19833636609837407,-56.68195044994354,-56.77191781997681,0.517157518863678,-0.2026523191307323,-0.9961704658658646,0.0,-0.03490717207504685,-0.8728357621100369,0.03870619315520664,0.08996737003326416,00:00:16.00
17,17.504,-52.159965145972464,0.6979861374824278,1013.9339606144935,0.00249928777526699,0.07240738407258064,-57.11722269365865,0.20971460015543042,-54.545143127441406,-54.271119886829005,0.6420017427013767,-0.25302813716861333,-1.0372414972650077,0.0,-0.10421829419385488,-0.893181899284305,0.05084387340746242,-0.27402324061239963,00:00:17.00
18,18.496,-51.13923460437405,0.6497016510655803,981.9319690807229,0.0021391546000696,0.06072013608870968,-55.80582526422316,0.18943889943822734,-53.85038055912141,-53.24870275682019,0.6930382697812972,-0.3228182935349881,-1.0424691559251524,0.0,-0.17240400607226009,-0.9001935432806987,0.05935245486512129,-0.6016778023012229,00:00:18.00
19,19.487999999999996,-51.957083917433216,0.6409102534094164,1011.6076983210578,0.002343215987146332,0.06621723790322581,-57.84821134997952,0.1821661839081395,-54.6125612566548,-54.03774446056735,0.6521458041283392,-0.30892960658557833,-1.035717133125291,0.0,-0.13474668806097218,-0.895128847578821,0.05047365598446652,-0.5748167960874505,00:00:19.00
20,20.496000000000002,-53.61872899532318,0.6274984693154693,1073.5982998443997,0.0037381786969489937,0.0785064697265625,-60.41901504993439,0.17796728573739526,-54.99477541446686,-55.7122015953064,0.5690635502338409,-0.2568539287785946,-1.0063804620034749,0.0,-0.018069176178112913,-0.8746641332723513,0.043645183993557914,0.7174261808395386,00:00:20.00
21,21.504,-52.97058683826077,0.6823443251271402,1103.7890208329068,0.003955971149186875,0.08141696068548387,-59.57576222573557,0.2089707476477469,-54.68388366699219,-55.04491289200321,0.6014706580869612,-0.21593758425731766,-0.90545298676025,0.0,0.016309572856155384,-0.8304393996607836,0.0543902987649384,0.361029225011025,00:00:21.00
