type,start_seconds,end_seconds,start,end,duration,score,loudness_db,low_db,center_advantage_db
HARSH,6.496,6.496,00:00:06.50,00:00:06.50,0.0,17.174687434919747,-33.60268020629883,-49.19001770019531,-63.53386688232422
RECOVERY,7.072,23.52,00:00:07.07,00:00:23.52,16.448,-0.04054585964524542,-63.30951998812481,-69.30459050669253,-0.5691624309705654
SWELL,11.25,19.25,00:00:11.25,00:00:19.25,8.0,16.755980608642794,-56.28863578796387,-61.48765075683594,-0.0553705132525902
IMPACT,37.44,37.44,00:00:37.44,00:00:37.44,0.0,9.323557213313752,-38.204715728759766,-49.6989860534668,22.71124267578125
IMPACT,38.592,38.592,00:00:38.59,00:00:38.59,0.0,11.599703280310665,-42.03603363037109,-47.155517578125,19.40772819519043
HARSH,38.784,38.784,00:00:38.78,00:00:38.78,0.0,24.792509749675908,-44.59951400756836,-51.05698394775391,18.631061553955085
SWELL,39.5,43.5,00:00:39.50,00:00:43.50,4.0,6.587702182510519,-47.4707483215332,-49.41093963623047,-3.2902432556152337
RECOVERY,45.152,51.872,00:00:45.15,00:00:51.87,6.719999999999999,-0.12652130760322824,-46.212405019461826,-47.860384918502156,-3.1739992078446666
SWELL,48.75,56.75,00:00:48.75,00:00:56.75,8.0,23.40066592504032,-39.07405799102783,-40.92218451690674,-4.1667309112548825
IMPACT,58.048,58.048,00:00:58.05,00:00:58.05,0.0,11.425973273804535,-48.91196441650391,-62.95949935913086,25.970623016357422
HARSH,58.176,58.176,00:00:58.18,00:00:58.18,0.0,25.69583760062737,-46.378116607666016,-63.32855987548828,27.927139282226562
IMPACT,58.848,58.848,00:00:58.85,00:00:58.85,0.0,8.58235109545382,-51.93582534790039,-61.39804458618164,19.4070816040039
RECOVERY,58.976,66.272,00:00:58.98,00:01:06.27,7.2960000000000065,-0.11736719030068098,-57.73391810254759,-59.75865176671457,4.730668913329012
HARSH,62.592,62.592,00:01:02.59,00:01:02.59,0.0,26.81266472583048,-49.72795867919922,-60.69354248046875,21.171810150146484
IMPACT,62.592,62.592,00:01:02.59,00:01:02.59,0.0,13.651664889899486,-49.72795867919922,-60.69354248046875,21.171810150146484
IMPACT,64.384,64.384,00:01:04.38,00:01:04.38,0.0,9.539536023658073,-52.12875747680664,-59.48673629760742,16.80290985107422
IMPACT,66.816,66.816,00:01:06.82,00:01:06.82,0.0,18.223758380712056,-42.79161834716797,-56.1174430847168,26.82238006591797
HARSH,66.848,66.848,00:01:06.85,00:01:06.85,0.0,23.361229057396173,-41.48442077636719,-54.628902435302734,29.304698944091797
RECOVERY,67.296,72.736,00:01:07.30,00:01:12.74,5.439999999999998,-0.1193389510021759,-57.924429642526725,-59.316545742994165,1.1288667422289036
HARSH,70.144,70.144,00:01:10.14,00:01:10.14,0.0,11.871036870471146,-50.97631072998047,-58.03789520263672,18.728443145751953
IMPACT,73.984,73.984,00:01:13.98,00:01:13.98,0.0,15.190290501325068,-43.12910079956055,-49.13368988037109,26.3075180053711
HARSH,74.816,74.816,00:01:14.82,00:01:14.82,0.0,26.18829959174069,-44.41448974609375,-56.461463928222656,22.89051055908203
IMPACT,74.816,74.816,00:01:14.82,00:01:14.82,0.0,19.069623045748983,-44.41448974609375,-56.461463928222656,22.89051055908203
IMPACT,75.584,75.584,00:01:15.58,00:01:15.58,0.0,12.452611226662063,-50.60977554321289,-57.06239318847656,15.4632568359375
RECOVERY,76.44800000000001,87.936,00:01:16.45,00:01:27.94,11.488,-0.13138671072588556,-54.18439066145155,-55.46539745330811,-0.7135454813639323
SWELL,78.75,82.75,00:01:18.75,00:01:22.75,4.0,9.00391377483863,-53.98225512695313,-55.03132669067383,-3.0690144653320313
IMPACT,83.264,83.264,00:01:23.26,00:01:23.26,0.0,12.249952734912023,-45.549461364746094,-48.66196441650391,9.922721862792969
HARSH,84.64,84.64,00:01:24.64,00:01:24.64,0.0,15.111857714704955,-50.664642333984375,-53.13195037841797,8.443416595458991
IMPACT,84.672,84.672,00:01:24.67,00:01:24.67,0.0,8.863532982720647,-51.04692459106445,-53.924922943115234,9.452880859375
IMPACT,85.696,85.696,00:01:25.70,00:01:25.70,0.0,8.973733648816403,-48.09550476074219,-52.5739860534668,15.219551086425788
SWELL,88.5,96.5,00:01:28.50,00:01:36.50,8.0,23.41937101470394,-42.81685740661621,-51.87080387878418,7.9005879821777345
IMPACT,89.024,89.024,00:01:29.02,00:01:29.02,0.0,13.671066686806872,-37.70322799682617,-47.203887939453125,30.576711654663086
HARSH,89.088,89.088,00:01:29.09,00:01:29.09,0.0,27.718079070062007,-39.22380065917969,-48.13652038574219,28.471935272216797
IMPACT,90.368,90.368,00:01:30.37,00:01:30.37,0.0,13.761652476522674,-36.444129943847656,-39.873294830322266,26.31872177124023
HIGH_LOAD,95.168,100.832,00:01:35.17,00:01:40.83,5.663999999999987,0.5616553665340719,-32.589833752492844,-45.81549635897861,2.3850893063491645
HARSH,101.12,101.12,00:01:41.12,00:01:41.12,0.0,18.631006306828287,-49.673583984375,-59.21737289428711,31.6254653930664
IMPACT,101.12,101.12,00:01:41.12,00:01:41.12,0.0,10.745424400866076,-49.673583984375,-59.21737289428711,31.6254653930664
IMPACT,102.72,102.72,00:01:42.72,00:01:42.72,0.0,13.589065832232189,-43.07706451416016,-52.85488510131836,44.266109466552734
IMPACT,103.904,103.904,00:01:43.90,00:01:43.90,0.0,11.681067472391458,-51.43593597412109,-63.39373016357422,36.5185661315918
IMPACT,104.8,104.8,00:01:44.80,00:01:44.80,0.0,14.605552924528745,-43.47200775146485,-56.91034698486328,43.94465255737305
IMPACT,105.952,105.952,00:01:45.95,00:01:45.95,0.0,21.671366797920882,-44.84577178955078,-58.475093841552734,41.582496643066406
HARSH,106.176,106.176,00:01:46.18,00:01:46.18,0.0,39.85395239554306,-46.38158416748047,-64.8934097290039,40.91302490234375
IMPACT,107.84,107.84,00:01:47.84,00:01:47.84,0.0,15.865698232687688,-47.147743225097656,-63.05488967895508,40.39000701904297
IMPACT,109.088,109.088,00:01:49.09,00:01:49.09,0.0,27.27034429584301,-46.03907775878906,-73.66036224365234,40.98774719238281
IMPACT,110.016,110.016,00:01:50.02,00:01:50.02,0.0,8.127493622075704,-48.94133758544922,-64.75386047363281,37.97986602783203
HARSH,111.168,111.168,00:01:51.17,00:01:51.17,0.0,29.036501400658718,-49.75976943969727,-70.42413330078125,35.45336151123047
IMPACT,111.168,111.168,00:01:51.17,00:01:51.17,0.0,15.519009752115005,-49.75976943969727,-70.42413330078125,35.45336151123047
IMPACT,112.384,112.384,00:01:52.38,00:01:52.38,0.0,13.86840741502512,-45.57558059692383,-63.16127014160156,27.921749114990234
IMPACT,113.152,113.152,00:01:53.15,00:01:53.15,0.0,15.81882584508155,-46.19390487670898,-62.03792953491211,23.62482452392578
HARSH,114.752,114.752,00:01:54.75,00:01:54.75,0.0,15.971758728522467,-49.51860427856445,-64.42361450195312,22.554477691650384
IMPACT,115.04,115.04,00:01:55.04,00:01:55.04,0.0,13.147190515106212,-37.74316787719727,-62.04103469848633,34.486083984375
SWELL,115.5,123.5,00:01:55.50,00:02:03.50,8.0,23.978368555997275,-44.66971091461182,-48.85378663635254,-7.286176162719727
IMPACT,119.2,119.2,00:01:59.20,00:01:59.20,0.0,11.515606093694494,-42.62693786621094,-53.91889953613281,21.004562377929688
IMPACT,120.736,120.736,00:02:00.74,00:02:00.74,0.0,10.836942865682957,-38.94067001342773,-42.07301330566406,6.420597076416016
